idiom	alts
down_in_the_dumps	"[""in the dumps""]"
down_on_one's_luck	[]
down_the_drain	[]
down_the_toilet	[]
down_the_track	[]
down_the_tubes	"[""down the tube""]"
down_to_a_fine_art	[]
down_to_the_wire	[]
down-to-earth	[]
drag_one's_feet	[]
draw_a_line_in_the_sand	[]
dressed_to_the_nines	[]
dressing-down	"[""dressing down""]"
dribs_and_drabs	[]
drive_someone_crazy	[]
drop_in_the_bucket	[]
drop_in_the_ocean	[]
drug_of_choice	[]
dyed_in_the_wool	[]
dyed-in-the-wool	[]
ear_to_the_ground	[]
earn_one's_keep	[]
easier_said_than_done	[]
easy_on_the_eye	[]
easy_on_the_eyes	"[""easy on the eye""]"
eat_humble_pie	[]
eat_one's_heart_out	[]
eat_someone_alive	[]
eat_someone's_lunch	[]
economical_with_the_truth	[]
element_of_surprise	[]
elephant_in_the_room	[]
elevator_pitch	[]
embarrassment_of_riches	[]
end_of_the_line	[]
end_of_the_world	[]
enemy_combatant	[]
equal_marriage	[]
err_on_the_side_of	[]
err_on_the_side_of_caution	[]
esprit_de_corps	[]
ethically_challenged	"[""ethically-challenged""]"
even_the_score	[]
every_which_way	[]
everything_but_the_kitchen_sink	"[""everything and the kitchen sink"", ""everything including the kitchen sink""]"
exception_that_proves_the_rule	[]
excess_baggage	[]
execution_style	[]
extra_pair_of_hands	[]
eye_for_an_eye	[]
eye_of_the_beholder	[]
eye-opener	"[""eye opener"", ""eyeopener""]"
face_the_music	[]
facts_on_the_ground	[]
failure_to_thrive	[]
fair_and_square	[]
fall_between_the_cracks	[]
fall_by_the_wayside	[]
fall_from_grace	[]
fall_into_one's_lap	[]
fall_into_place	[]
fall_into_the_wrong_hands	[]
fall_off_the_wagon	[]
fall_on_deaf_ears	[]
fall_on_hard_times	[]
fall_on_one's_face	[]
fall_on_one's_sword	[]
fall_through_the_cracks	[]
fan_the_flames	[]
fancy_one's_chances	[]
fashionably_late	[]
fast_and_furious	[]
feast_for_the_eyes	[]
feast_or_famine	[]
feather_in_one's_cap	[]
feeding_frenzy	[]
feel_the_pinch	[]
feet_on_the_ground	[]
female-to-male	[]
few_and_far_between	[]
fight_fire_with_fire	[]
fighting_chance	[]
figure_of_speech	[]
fill_in_the_blank	[]
fill_one's_boots	[]
fill_someone's_shoes	[]
final_nail_in_the_coffin	[]
final_solution	[]
find_another_gear	"[""find a new gear""]"
find_it_in_one's_heart	[]
find_one's_feet	[]
find_one's_voice	[]
fire_in_the_belly	"[""fire in one's belly""]"
fire_on_all_cylinders	"[""hit on all cylinders""]"
fire-breathing	"[""fire breathing""]"
first_among_equals	[]
first_and_last	[]
first_come,_first_served	[]
first_port_of_call	[]
fish_out_of_water	[]
fishing_expedition	[]
fit_for_a_king	[]
fits_and_starts	[]
flash_in_the_pan	[]
flat-chested	"[""flatchested""]"
flat-footed	[]
flight_of_fancy	[]
float_someone's_boat	[]
fly_in_the_face_of	[]
fly_in_the_ointment	[]
fly_off_the_handle	[]
fly_off_the_shelves	[]
fly_on_the_wall	[]
fly-by-night	[]
follow_in_someone's_footsteps	"[""follow in someone's steps""]"
follow_through	[]
food_for_thought	[]
fool's_paradise	[]
for_pete's_sake	[]
for_all_intents_and_purposes	"[""to all intents and purposes"", ""for all intensive purposes"", ""for all intrinsic purposes""]"
for_all_the_world	[]
for_crying_out_loud	"[""for cryin' out loud""]"
for_good_measure	[]
for_goodness'_sake	"[""for goodness sake""]"
for_heaven's_sake	[]
for_old_times'_sake	[]
for_one's_life	[]
for_one's_particular	[]
for_that_matter	[]
for_the_heck_of_it	[]
for_the_hell_of_it	[]
for_the_love_of	[]
for_the_most_part	[]
for_the_time_being	[]
forbidden_fruit	[]
force_someone's_hand	[]
forgive_and_forget	[]
fountain_of_youth	[]
four-leaf_clover	"[""four-leafed clover"", ""four-leaved clover""]"
free-for-all	[]
freedom_of_speech	[]
fresh-faced	[]
friends_in_high_places	[]
from_a_mile_away	[]
from_cover_to_cover	[]
from_pillar_to_post	[]
from_the_bottom_of_one's_heart	[]
from_the_cradle_to_the_grave	"[""from the cradle to the deathbed""]"
from_the_get-go	"[""from the git-go""]"
from_the_ground_up	[]
from_the_word_go	[]
from_time_to_time	[]
